Result,Delay (ms),HTTP requests
745,21705.995617,2298
746,21706.016877000002,2298
747,21706.023579,2298
748,21706.02908,2298
749,21706.046503,2298
750,21706.150388000002,2298
751,21706.157732,2298
752,21706.163764,2298
753,21706.170076000002,2298
754,21706.225069,2298
755,21706.231692,2298
756,21706.238204,2298
757,21706.243775000003,2298
758,21706.350335000003,2298
759,21706.357248,2298
760,21706.361757000002,2298
761,21706.36848,2298
762,21706.445244000002,2298
763,21706.452097,2298
764,21706.457908,2298
765,21706.463348,2298
766,21706.524724000003,2298
767,21706.531637,2298
768,21706.537318000002,2298
769,21706.544592000002,2298
770,21706.611347000002,2298
771,21706.618912,2298
772,21706.657705,2298
773,21706.663666,2298
774,21706.728148000002,2298
775,21706.735832000002,2298
776,21706.742144,2298
777,21706.750299000003,2298
778,21706.806966,2298
779,21706.813729,2298
780,21706.820021,2298
781,21706.826042,2298
782,21706.890153,2298
783,21706.897587000003,2298
784,21706.90475,2298
785,21706.912124000002,2298
786,21706.978469,2298
787,21706.985573,2298
788,21706.992285,2298
789,21706.997475,2298
790,21707.073468000002,2298
791,21707.082345000003,2298
792,21707.088487,2298
793,21707.094047000002,2298
794,21707.166233,2298
795,21707.173777,2298
796,21707.182304,2298
797,21707.187604000002,2298
798,21707.248458000002,2298
799,21707.257475000002,2298
800,21707.265871,2298
801,21707.272273000002,2298
802,21707.567429000002,2298
803,21707.574934,2298
804,21707.578410000002,2298
805,21707.581576,2298
806,21811.741194000002,2298
807,21811.756032,2298
808,21811.761101,2298
809,21811.766521,2298
810,21811.784726,2298
811,21811.789635,2298
812,21811.794765000002,2298
813,21811.798111,2298
814,21811.908269,2298
815,21811.916284000003,2298
816,21811.922105,2298
817,21811.927084000003,2298
818,21811.973652,2298
819,21811.979733,2298
820,21811.984893,2298
821,21811.990554,2298
822,21812.037713,2298
823,21812.043734000003,2298
824,21812.048653,2298
825,21812.053592,2298
826,21812.114297,2298
827,21812.12122,2298
828,21812.126209000002,2298
829,21812.131299,2298
830,21812.182666,2298
831,21812.188387000002,2298
832,21812.193216,2298
833,21812.198826,2298
834,21812.249071000002,2298
835,21812.255142,2298
836,21812.260713,2298
837,21812.266764,2298
838,21812.316548000003,2298
839,21812.333280000003,2298
840,21812.33853,2298
841,21812.34427,2298
842,21812.395777,2298
843,21812.402751,2298
844,21812.408371,2298
845,21812.417799000003,2298
846,21812.468665,2298
847,21812.474606,2298
848,21812.48181,2298
849,21812.491147,2298
850,21812.546191,2298
851,21812.552723,2298
852,21812.557693000002,2298
853,21812.567902000003,2298
854,21925.218104,2298
855,21925.231249,2298
856,21925.235907000002,2298
857,21925.240326000003,2298
858,21925.365592000002,2298
859,21925.372354000003,2298
860,21925.377614,2298
861,21925.384848,2298
862,21925.566270000003,2298
863,21925.57155,2298
864,21925.577942,2298
865,21925.581338,2298
866,22099.077793,2338
867,22099.09737,2338
868,22099.10222,2338
869,22099.105626,2338
870,22099.127778000002,2338
871,22099.134591000002,2338
872,22099.14473,2338
873,22099.151412000003,2338
874,22099.262462000002,2338
875,22099.27243,2338
876,22099.281117000002,2338
877,22099.286226,2338
878,22099.333095,2338
879,22099.339447000002,2338
880,22099.344516,2338
881,22099.349516000002,2338
882,22099.406443,2338
883,22099.413346,2338
884,22099.417905000002,2338
885,22099.423475,2338
886,22099.479140000003,2338
887,22099.485292,2338
888,22099.490742,2338
889,22099.496322000003,2338
890,22099.551146,2338
891,22099.560654,2338
892,22099.565623000002,2338
893,22099.571644,2338
894,22099.635495000002,2338
895,22099.646636,2338
896,22099.652126,2338
897,22099.657827000003,2338
898,22099.776831000003,2338
899,22099.782532,2338
900,22099.788132,2338
901,22099.79205,2338
902,22099.939217000003,2338
903,22099.944748,2338
904,22099.948595,2338
905,22099.952662,2338
906,22100.004971000002,2338
907,22100.012185,2338
908,22100.017675000003,2338
909,22100.024818,2338
910,22100.119487,2338
911,22100.124587000002,2338
912,22100.128023,2338
913,22100.131439,2338
914,22100.17967,2338
915,22100.185912,2338
916,22100.190661,2338
917,22100.195701,2338
918,22100.250434,2338
919,22100.258719,2338
920,22100.263859000002,2338
921,22100.26968,2338
922,22100.435843000003,2338
923,22100.442816000002,2338
924,22100.447104000003,2338
925,22100.450331,2338
926,22307.884627000003,2346
927,22307.898223,2346
928,22307.905226000003,2346
929,22307.909845000002,2346
930,22307.957505000002,2346
931,22307.963656,2346
932,22307.968435000003,2346
933,22307.975569000002,2346
934,22308.09817,2346
935,22308.107117,2346
936,22308.122325,2346
937,22308.131743,2346
938,22308.189622,2346
939,22308.196375,2346
940,22308.203258,2346
941,22308.210141,2346
942,22308.312644,2346
943,22308.319497,2346
944,22308.325088,2346
945,22308.346257,2346
946,22308.41672,2346
947,22308.423884,2346
948,22308.429605,2346
949,22308.435896000003,2346
950,22308.498795,2346
951,22308.506029,2346
952,22308.519644,2346
953,22308.526868,2346
954,22308.586300000003,2346
955,22308.600617,2346
956,22308.606648,2346
957,22308.612800000003,2346
958,22308.67134,2346
959,22308.681780000003,2346
960,22308.691719000002,2346
961,22308.699533000003,2346
962,22308.769235,2346
963,22308.776709,2346
964,22308.783582,2346
965,22308.790765,2346
966,22308.857391,2346
967,22308.86735,2346
968,22308.877088,2346
969,22308.887207,2346
970,22308.945257000003,2346
971,22308.956688000002,2346
972,22308.966156000002,2346
973,22308.971185000002,2346
974,22309.248408000003,2346
975,22309.256704000003,2346
976,22309.260280000002,2346
977,22309.264458,2346
978,22460.830235,2359
979,22460.850954,2359
980,22460.857256000003,2359
981,22460.861153,2359
982,22460.958597,2359
983,22460.963897,2359
984,22460.969878,2359
985,22460.973765000002,2359
986,22461.010925000002,2359
987,22461.016436,2359
988,22461.020764,2359
989,22461.024892,2359
990,22461.062873000003,2359
991,22461.067322000003,2359
992,22461.07167,2359
993,22461.076048000003,2359
994,22461.110132,2359
995,22461.115282000002,2359
996,22461.118949,2359
997,22461.122846000002,2359
998,22461.158063000003,2359
999,22461.16223,2359
1000,22461.166368000002,2359
1001,22461.170586,2359
1002,22461.308767000002,2359
1003,22461.314177,2359
1004,22461.319226,2359
1005,22461.32658,2359
1006,22461.446286000002,2359
1007,22461.452347000002,2359
1008,22461.456475000003,2359
1009,22461.461384000002,2359
1010,22461.501049000002,2359
1011,22461.505387,2359
1012,22461.509916000003,2359
1013,22461.54375,2359
1014,22461.584987000002,2359
1015,22461.590778,2359
1016,22461.596098,2359
1017,22461.602951,2359
1018,22461.63964,2359
1019,22461.643848,2359
1020,22461.650110000002,2359
1021,22461.655771,2359
1022,22461.807507,2359
1023,22461.814259000002,2359
1024,22461.818648,2359
1025,22461.824569,2359
1026,22606.924077,2360
1027,22606.935428,2360
1028,22606.939926000003,2360
1029,22606.946138000003,2360
1030,22607.023764,2360
1031,22607.028203,2360
1032,22607.031860000003,2360
1033,22607.035567000003,2360
1034,22607.177214000003,2360
1035,22607.182684000003,2360
1036,22607.187463000002,2360
1037,22607.191431000003,2360
1038,22607.294314000002,2360
1039,22607.299244,2360
1040,22607.30266,2360
1041,22607.306958,2360
1042,22607.401456,2360
1043,22607.410864,2360
1044,22607.415383,2360
1045,22607.418458,2360
1046,22607.540669,2360
1047,22607.545057000003,2360
1048,22607.548574,2360
1049,22607.552411,2360
1050,22607.654043000002,2360
1051,22607.658541,2360
1052,22607.661897,2360
1053,22607.667187000003,2360
1054,22607.765873,2360
1055,22607.769771000003,2360
1056,22607.773357000002,2360
1057,22607.776744000003,2360
1058,22607.85939,2360
1059,22607.863718,2360
1060,22607.868807000003,2360
1061,22607.874338,2360
1062,22607.928340000002,2360
1063,22607.934451,2360
1064,22607.942476,2360
1065,22607.947726000002,2360
1066,22608.094042,2360
1067,22608.098410000002,2360
1068,22608.101115,2360
1069,22608.104412,2360
1070,22870.820552,2360
1071,22870.835541,2360
1072,22870.840119,2360
1073,22870.843396,2360
1074,22871.04749,2360
1075,22871.050917,2360
1076,23474.970805,2434
1077,23474.985943,2434
1078,23760.980563,2435
1079,23760.993578,2435
1080,23760.998497,2435
1081,23761.003667,2435
1082,23761.081954,2435
1083,23901.229558000003,2441
1084,23901.2416,2441
1085,23901.245538000003,2441
1086,23901.249605,2441
1087,23901.478286,2441
1088,23901.4853,2441
1089,24182.799627,2487
1090,24182.814706,2487
1091,24182.820757,2487
1092,24182.825145000003,2487
1093,24182.874438000003,2487
1094,24182.879778000002,2487
1095,24182.883816,2487
1096,24182.888134,2487
1097,24183.005024000002,2487
1098,24183.011607,2487
1099,24183.015714,2487
1100,24183.019682000002,2487
1101,24183.125311,2487
1102,24183.130791,2487
1103,24183.135009,2487
1104,24183.138376000003,2487
1105,24625.951062,2531
1106,24625.969006000003,2531
1107,24625.979726,2531
1108,24625.984535,2531
1109,24626.030331,2531
1110,24626.037084,2531
1111,24626.041933,2531
1112,24626.046903000002,2531
1113,24626.176597,2531
1114,24626.182017000003,2531
1115,24626.188199,2531
1116,24626.192287,2531
1117,24626.259403,2531
1118,24626.264733,2531
1119,24626.26827,2531
1120,24626.271135000003,2531
1121,24774.19699,2531
1122,24774.208632,2531
1123,24774.213491000002,2531
1124,24774.217599,2531
1125,24774.234892,2531
1126,24774.238689,2531
1127,24774.241865,2531
1128,24774.246013,2531
1129,24774.316726,2531
1130,24774.321735,2531
1131,24774.327155000003,2531
1132,24774.330622,2531
1133,24774.360599,2531
1134,24774.364586,2531
1135,24774.367942,2531
1136,24774.373302,2531
1137,24774.420151000002,2531
1138,24774.424319,2531
1139,24774.428607,2531
1140,24774.433576000003,2531
1141,24912.578384,2531
1142,24912.59231,2531
1143,24912.59773,2531
1144,24912.602028,2531
1145,24912.628568,2531
1146,24912.632686,2531
1147,24912.636684,2531
1148,24912.640281,2531
1149,24912.773963,2531
1150,24912.778882000002,2531
1151,24912.782799,2531
1152,24912.787328000002,2531
1153,24912.86255,2531
1154,24912.866387000002,2531
1155,24912.871015,2531
1156,24912.874372000002,2531
1157,25075.569757,2533
1158,25075.581318,2533
1159,25075.586789,2533
1160,25075.590596000002,2533
1161,25075.607438000003,2533
1162,25075.611696,2533
1163,25075.615182,2533
1164,25075.618428,2533
1165,25075.71451,2533
1166,25075.721062,2533
1167,25075.725871000002,2533
1168,25075.729748,2533
1169,25199.010157,2533
